Murray.Collection.Identifier,WTSI.sequence.tag,ENA.accession.number,Sample.name,Public.Name,GC.content,Total.sequencing.yield..kbp.,Assembly.total.length..bp.,Assembly.contiguous.sequences..number.,N50,WGS.genus,Salmonella.MLST,Escherichia.coli.MLST,Klebseilla.MLST,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number.detected,Plasmid.1,Plasmid.2,Plasmid.3,Plasmid.4,Plasmid.5,Date,Year,Source
M240,9803_5#74,ERS222813,NCTC_M240 7222949,NCTC20349,50.5,303544,4691819,365,28763,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,23/09/1937,1937,
M293,9776_2#10,ERS203026,NCTC_M293 6836920,NCTC20100,50.5,437988,5266738,202,89295,Escherichia/Shigella,,59,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1a__NC_010656,Col156_1__NC_009781,ColpVC_1__JX133088,IncFII_29__1_pUTI89_CP003035,,04/01/1932,1932,
M256,8939_4#24,ERS179697,NCTC_M256,NCTC20083,50.5,309166,5097956,124,133487,Escherichia/Shigella,,ND,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,IncFIA_1__AP001918,IncFIB_AP001918__1__AP001918,IncFIB_AP001918__1__AP001918,,,04/07/1930,1930,
M196,9803_5#23,ERS222762,NCTC_M196 7223002,NCTC20338,50.5,314604,4879070,389,28891,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,,,23/09/1937,1937,
M634,9471_7#67,ERS203178,NCTC_M634 6838812,NCTC20295,50.5,425100,5070509,190,72274,Escherichia/Shigella,,ND,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,IncFIB_pECLA__1_pECLA_CP001919,IncY_1__K02380,,,,30/11/1931,1931,"CSF, Lemoine"
M163,8939_4#54,ERS179727,NCTC_M163,NCTC20070,50.5,289237,4824944,171,76452,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,30/11/1933,1933,Cerebrospinal fluid
M614,9776_2#94,ERS203110,NCTC_M614 6836978,NCTC20285,50.5,496983,5033682,182,92370,Escherichia/Shigella,,746,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,,ND,Stool
M361,9803_5#32,ERS222771,NCTC_M361 7223015,NCTC20365,50.5,303914,4345294,311,33691,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,25/02/1935,1935,
M655,9803_5#41,ERS222780,NCTC_M655 7222933,NCTC20387,50.5,332917,4280414,386,22329,Escherichia/Shigella,,145,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,16/03/1937,1937,
M174,9803_5#56,ERS222795,NCTC_M174 7223018,NCTC20331,50.5,247826,4361619,301,29574,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,10/06/1918,1918,
M31,9803_5#59,ERS222798,NCTC_M31 7222959,NCTC20317,50.5,331679,4256697,284,35169,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,04/02/1918,1918,
M340,9803_5#60,ERS222799,NCTC_M340 7222971,NCTC20364,50.5,279821,4315730,293,33335,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,-/1/34,1934,Stool
M60,8939_4#82,ERS179755,NCTC_M60,NCTC20036,50.55,279196,4328974,319,32128,Escherichia/Shigella,,1024,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,25/10/1918,1918,
M610,9471_7#4,ERS203115,NCTC_M610 6838816,NCTC20280,50.55,539963,4928023,235,74461,Escherichia/Shigella,,757,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncB_O_K_Z_2_GU256641,,,,,,ND,Stool
M380,9776_2#33,ERS203049,NCTC_M380 6836911,NCTC20118,50.55,528576,5117840,177,103347,Escherichia/Shigella,,10,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncFII_1__AY458016,,,,,,ND,
M56,8939_4#66,ERS179739,NCTC_M56,NCTC20034,50.55,309580,4137368,266,32134,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncX4_1__CP002895,,,,,07/09/1918,1918,
M648A,9471_7#60,ERS203171,NCTC_M648A 6838823,NCTC20302,50.55,419201,4872690,254,42080,Escherichia/Shigella,,ND,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncY_1__K02380,,,,,05/02/1934,1934,
M198,9803_5#30,ERS222769,NCTC_M198 7222991,NCTC20339,50.55,287615,4708182,359,30042,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,23/09/1937,1937,
M200,9803_5#37,ERS222776,NCTC_M200 7222980,NCTC20340,50.55,327670,4698026,359,29630,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,17/04/1954,1954,
M682,9471_7#48,ERS203159,NCTC_M682 6838869,NCTC20314,50.55,398385,5434207,321,57484,Escherichia/Shigella,,405,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,IncB_O_K_Z_2_GU256641,IncFII_29__1_pUTI89_CP003035,,,,05/02/1934,1934,
M250,9803_5#24,ERS222763,NCTC_M250 7223014,NCTC20353,50.55,262803,4700484,372,27831,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,,,23/09/1937,1937,
M58,9471_7#40,ERS203151,NCTC_M58 6838868,NCTC20244,50.55,396747,4377359,280,37423,Escherichia/Shigella,,628,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,25/10/1918,1918,
M57,9471_7#44,ERS203155,NCTC_M57 6838821,NCTC20243,50.55,409755,4364407,328,28883,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,03/10/1919,1919,
M405,9471_7#93,ERS203204,NCTC_M405 6838839,NCTC20227,50.55,428393,4344301,309,33746,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,06/04/1925,1925,
M427,9776_2#49,ERS203065,NCTC_M427 6836913,NCTC20131,50.55,486521,4549862,75,116421,Escherichia/Shigella,,641,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,04/04/1930,1930,
M237,9803_5#3,ERS222742,NCTC_M237 7222952,NCTC20347,50.55,336513,4275399,386,22804,Escherichia/Shigella,,145,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,10/03/1943,1943,
M289,9803_5#45,ERS222784,NCTC_M289 7222981,NCTC20357,50.55,336450,4192790,249,37817,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,2-/5/34,1934,
M249,9803_5#5,ERS222744,NCTC_M249 7222976,NCTC20352,50.55,326541,4201746,266,33766,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,07/09/1918,1918,
M35,9803_5#53,ERS222792,NCTC_M35 7222982,NCTC20320,50.55,317792,4134611,261,33747,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,07/09/1918,1918,
M111,9803_5#65,ERS222804,NCTC_M111 7222936,NCTC20323,50.55,282939,4194127,272,33309,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,06/09/1918,1918,
M113,9803_5#7,ERS222746,NCTC_M113 7223000,NCTC20324,50.55,319252,4251622,270,35157,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,21/10/1924,1924,
M231,9803_5#72,ERS222811,NCTC_M231 7223020,NCTC20344,50.55,261154,4332670,277,31448,Escherichia/Shigella,,631,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,13/08/1921,1921,
M184,9803_5#78,ERS222817,NCTC_M184,NCTC20334 ,50.55,268963,4290228,288,30013,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,12/06/1918,1918,
M639,9803_5#27,ERS222766,NCTC_M639 7222955,NCTC20385,50.6,316703,4456101,332,28867,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,,,16/03/1937,1937,
M669,9803_5#55,ERS222794,NCTC_M669 7223006,NCTC20389,50.6,322306,4703834,357,29083,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,23/09/1937,1937,
M562,9803_5#61,ERS222800,NCTC_M562 7222983,NCTC20377,50.6,308210,4690374,368,26713,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,16/03/1937,1937,
M390,9776_2#40,ERS203056,NCTC_M390 6836995,NCTC20122,50.6,492273,4895297,253,55159,Escherichia/Shigella,,120,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col156_1__NC_009781,IncB_O_K_Z_2_GU256641,IncFIA_1__AP001918,IncFIC_FII__1__AP001918,,14/03/1939,1939,
M563,9803_5#68,ERS222807,NCTC_M563 7222972,NCTC20378,50.6,271848,4640090,334,31532,Escherichia/Shigella,,1502,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col156_1__NC_009781,IncFII_1__AY458016,IncI2_1_Delta_AP002527,,,16/03/1937,1937,
M162,8939_4#46,ERS179719,NCTC_M162,NCTC20069,50.6,306502,4296798,274,33772,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,20/09/1940,1940,
M144,8939_4#85,ERS179758,NCTC_M144,NCTC20064,50.6,282511,4889348,107,115810,Escherichia/Shigella,,23,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,05/04/1940,1940,Appendix abscess
M33,9803_5#11,ERS222750,NCTC_M33 7222953,NCTC20318,50.6,329865,4189174,274,34298,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,07/08/1918,1918,
M411,9803_5#33,ERS222772,NCTC_M411 7222932,NCTC20372,50.6,341376,4290643,279,33765,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,30/12/1931,1931,Stool
M161,9803_5#35,ERS222774,NCTC_M161 7222956,NCTC20328,50.6,327122,4326926,272,35168,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,15/07/1919,1919,
M413,9803_5#40,ERS222779,NCTC_M413 7223016,NCTC20373,50.6,273310,4128717,261,32316,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,30/12/1931,1931,Stool
M378,9803_5#46,ERS222785,NCTC_M378 7222993,NCTC20368,50.6,289435,4065903,256,32313,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,07/09/1918,1918,
M36,9803_5#25,ERS222764,NCTC_M36 7222931,NCTC20321,50.65,325611,4228905,255,34691,Escherichia/Shigella,,1024,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,12/06/1918,1918,
M611B,9471_7#2,ERS203113,NCTC_M611B 6838792,NCTC20282,50.65,509395,4958855,239,66631,Escherichia/Shigella,,757,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncB_O_K_Z_2_GU256641,,,,,,ND,
M611A,9471_7#3,ERS203114,NCTC_M611A 6838804,NCTC20281,50.65,538599,4970776,228,67981,Escherichia/Shigella,,757,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncB_O_K_Z_2_GU256641,,,,,,ND,
M666,9803_5#48,ERS222787,NCTC_M666 7223017,NCTC20388,50.65,271105,4565023,338,32508,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,5,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,Col8282_1__DQ995353,IncX4_1__CP002895,02/04/1937,1937,
M628,9803_5#20,ERS222759,NCTC_M628 7222966,NCTC20384,50.65,278364,4695616,354,28430,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,,ND,Stool; not agglut. by pooled serum 
M294,9803_5#52,ERS222791,NCTC_M294 7222970,NCTC20358,50.65,283302,4650354,357,29752,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,02/04/1937,1937,
M64,8939_4#90,ERS179763,NCTC_M64,NCTC20037,50.65,305091,4272543,280,31306,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,0,,,,,,15/07/1919,1919,
M52,8939_4#50,ERS179723,NCTC_M52,NCTC20032,50.7,300303,4241002,274,33332,Escherichia/Shigella,,1024,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,27/08/1918,1918,
M232,9471_7#87,ERS203198,NCTC_M232 6838862,NCTC20215,50.7,390546,4221975,292,35091,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,13/08/1921,1921,Stool
M195,9803_5#16,ERS222755,NCTC_M195 7223013,NCTC20337,50.7,297814,4238794,366,23091,Escherichia/Shigella,,145,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,07/10/1940,1940,
M442,9803_5#54,ERS222793,NCTC_M442 7222994,NCTC20375,50.7,333975,4381887,268,36827,Escherichia/Shigella,,245,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,02/03/1932,1932,
M607,9803_5#75,ERS222814,NCTC_M607 7222961,NCTC20380,50.7,276204,4226072,264,33338,Escherichia/Shigella,,1024,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,17/05/1934,1934,
M235,9803_5#79,ERS222818,NCTC_M235 7223009,NCTC20346,50.7,283949,4230091,273,33764,Escherichia/Shigella,,1024,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,ColpVC_1__JX133088,,,,,02/05/1921,1921,
M653,9803_5#34,ERS222773,NCTC_M653 7222944,NCTC20386,50.7,285931,4594043,358,27704,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,3,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,,,23/09/1937,1937,
M239,9803_5#10,ERS222749,NCTC_M239 7222941,NCTC20348,50.7,319611,4692975,361,26886,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,23/09/1937,1937,
M245,9803_5#17,ERS222756,NCTC_M245 7222930,NCTC20351,50.7,366189,4670192,333,29628,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,23/09/1937,1937,
M389,9776_2#39,ERS203055,NCTC_M389 6836983,NCTC20121,50.7,532926,4741401,184,58054,Escherichia/Shigella,,120,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col156_1__NC_009781,IncB_O_K_Z_2_GU256641,IncFIA_1__AP001918,IncFIC_FII__1__AP001918,,14/03/1939,1939,
M617,9776_2#91,ERS203107,NCTC_M617 6836942,NCTC20288,50.7,530840,4629079,208,57904,Escherichia/Shigella,,120,,Absent,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,IncFIA_1__AP001918,IncFIC_FII__1__AP001918,,,,14/03/1939,1939,
M608,9803_5#82,ERS222821,NCTC_M608 7222950,NCTC20381,50.7,273327,4595165,354,29107,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,,,,02/12/1939,1939,
